Year,NYT - Total Positivity,SDUT - Total Positivity,SLPD - Total Positivity,TBT - Total Positivity
1989,-1,-3,-3,-4
1990,0,-2,-2,-3
1991,-11,0,-5,-7
1992,-5,-2,1,-4
1993,-6,1,-1,1
1994,-2,0,-1,-2
1995,-2,1,-5,-1
1996,-1,-1,-1,0
1997,0,-2,0,-2
1998,1,-1,-2,1
1999,-6,-5,0,-1
2000,0,-1,0,0
2001,7,-6,-2,-5
2002,-2,-1,-4,-5
2003,-9,-3,-1,-2
2004,-6,-1,-3,2
2005,1,1,1,3
2006,1,2,0,-5
2007,5,0,-2,0
2008,1,-3,-1,4
2009,-2,-4,0,0
2010,7,-1,-1,-2
2011,0,0,-3,-1
2012,-2,0,-3,0
2013,-3,0,-2,-2
2014,0,-1,-2,-1
2015,-5,0,-1,0
2016,5,-1,0,0
2017,17,0,-2,0
2018,24,1,0,0
2019,5,0,1,0
